time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-03-10T17:58:26.030Z,-30.712,-177.843,91.7,5.4,mb,,,,1.4,us,usp0001thw,2014-11-07T00:32:47.940Z,"Kermadec Islands, New Zealand",earthquake,,9.7,,3.0,reviewed,us,us
1983-02-18T09:48:53.050Z,-29.846,-177.003,33.0,5.0,mb,,,,1.1,us,usp0001t4z,2014-11-07T00:32:42.382Z,"Kermadec Islands, New Zealand",earthquake,,,,4.0,reviewed,us,us
1983-02-13T02:00:44.880Z,-29.344,-178.335,353.8,4.2,mb,,,,1.3,us,usp0001t08,2014-11-07T00:32:40.964Z,"Kermadec Islands, New Zealand",earthquake,,13.7,,2.0,reviewed,us,us
1983-02-07T18:23:16.640Z,-29.707,-177.837,52.0,6.0,mb,,,,1.0,us,usp0001sw9,2022-04-28T00:11:58.205Z,"Kermadec Islands, New Zealand",earthquake,,,,41.0,reviewed,us,us
1983-01-21T04:04:23.130Z,-30.813,-177.778,165.7,5.3,mb,,,,1.2,us,usp0001ser,2014-11-07T00:32:32.120Z,"Kermadec Islands, New Zealand",earthquake,,10.2,,3.0,reviewed,us,us
1982-10-05T10:15:04.660Z,-30.516,-177.808,54.0,5.6,mb,,,,1.2,us,usp0001q1n,2016-11-09T23:39:01.990Z,"Kermadec Islands, New Zealand",earthquake,,,,4.0,reviewed,us,us
1982-09-29T21:58:29.250Z,-29.512,-177.242,33.0,5.0,mb,,,,1.0,us,usp0001pwy,2014-11-07T00:31:55.194Z,"Kermadec Islands, New Zealand",earthquake,,,,1.0,reviewed,us,us
1982-08-28T04:41:34.450Z,-30.687,-177.155,33.0,5.2,ms,,,,1.3,us,usp0001p9q,2014-11-07T00:31:47.628Z,"Kermadec Islands, New Zealand",earthquake,,,,2.0,reviewed,us,us
1982-08-28T04:29:10.200Z,-30.216,-177.567,139.6,5.1,mb,,,,1.1,us,usp0001p9p,2022-04-28T00:30:33.579Z,"Kermadec Islands, New Zealand",earthquake,,8.5,,6.0,reviewed,us,us
1982-08-26T15:19:28.900Z,-30.382,-178.406,196.3,4.6,mb,,,,1.2,us,usp0001p8q,2014-11-07T00:31:47.518Z,"Kermadec Islands, New Zealand",earthquake,,15.4,,2.0,reviewed,us,us
1982-07-31T11:07:24.150Z,-29.137,-178.217,187.0,5.0,mb,,,,1.2,us,usp0001ns4,2014-11-07T00:31:39.277Z,"Kermadec Islands, New Zealand",earthquake,,7.8,,5.0,reviewed,us,us
1982-07-16T14:43:05.360Z,-29.547,-177.717,33.0,5.2,mb,,,,1.5,us,usp0001nfc,2014-11-07T00:31:37.248Z,"Kermadec Islands, New Zealand",earthquake,,,,3.0,reviewed,us,us
1982-06-23T09:02:14.840Z,-29.797,-178.735,226.2,4.7,mb,,,,1.2,us,usp0001n38,2014-11-07T00:31:29.411Z,"Kermadec Islands, New Zealand",earthquake,,10.4,,4.0,reviewed,us,us
1982-05-12T12:51:02.150Z,-30.527,-177.817,33.0,5.4,mb,,,,1.6,us,usp0001m8z,2014-11-07T00:31:17.921Z,"Kermadec Islands, New Zealand",earthquake,,,,4.0,reviewed,us,us
1982-05-12T12:41:49.000Z,-30.5,-177.839,53.0,5.3,mb,,,,1.3,us,usp0001m8y,2016-11-09T22:30:22.224Z,"Kermadec Islands, New Zealand",earthquake,,,,8.0,reviewed,us,us
1982-05-03T05:29:17.250Z,-29.803,-177.287,33.0,5.0,mb,,,,1.4,us,usp0001m31,2014-11-07T00:31:15.646Z,"Kermadec Islands, New Zealand",earthquake,,,,5.0,reviewed,us,us
1982-05-02T18:45:10.530Z,-29.376,-177.121,33.0,5.2,ms,,,,1.4,us,usp0001m2s,2022-04-28T00:36:39.775Z,"Kermadec Islands, New Zealand",earthquake,,,,3.0,reviewed,us,us
1982-05-02T12:50:17.490Z,-29.42,-177.062,33.0,5.0,mb,,,,1.5,us,usp0001m23,2014-11-07T00:31:14.722Z,"Kermadec Islands, New Zealand",earthquake,,,,4.0,reviewed,us,us
1982-05-02T11:19:38.010Z,-29.318,-177.151,25.4,6.5,ms,,,,1.3,us,usp0001m22,2022-04-28T00:36:30.486Z,"Kermadec Islands, New Zealand",earthquake,,4.0,,22.0,reviewed,us,us
1982-05-01T10:27:52.830Z,-29.217,-177.349,33.0,5.4,mb,,,,1.2,us,usp0001m1f,2022-04-28T00:36:06.789Z,"Kermadec Islands, New Zealand",earthquake,,,,11.0,reviewed,us,us
