time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-03-09T13:37:46.150Z,-20.754,68.474,10.0,4.6,mb,21.0,70.0,,0.78,us,usp000g11w,2014-11-07T01:35:13.276Z,Mid-Indian Ridge,earthquake,,,,3.0,reviewed,us,us
2008-03-08T20:31:45.850Z,-10.47,66.349,10.0,4.7,mb,29.0,232.1,,0.8,us,usp000g108,2014-11-07T01:35:13.053Z,Mid-Indian Ridge,earthquake,,,,14.0,reviewed,us,us
2008-02-22T05:28:20.560Z,-10.547,66.738,10.0,4.7,mb,25.0,147.5,,0.74,us,usp000fzmt,2014-11-07T01:35:01.393Z,Mid-Indian Ridge,earthquake,,,,5.0,reviewed,us,us
2008-02-17T01:31:21.600Z,-16.116,67.547,10.0,5.4,mwc,50.0,109.5,,1.24,us,usp000fz2w,2016-11-10T01:51:54.253Z,Mid-Indian Ridge,earthquake,,,,,reviewed,us,gcmt
2008-02-13T08:43:45.810Z,-12.155,65.691,10.0,5.0,mwc,32.0,69.4,,1.35,us,usp000fytm,2016-11-10T01:51:47.106Z,Mid-Indian Ridge,earthquake,,,,,reviewed,us,gcmt
2008-02-11T17:47:59.270Z,-10.428,66.513,10.0,4.3,mb,11.0,132.7,,0.61,us,usp000fype,2014-11-07T01:34:56.017Z,Mid-Indian Ridge,earthquake,,,,1.0,reviewed,us,us
2008-02-11T16:33:11.900Z,-10.276,66.517,10.0,4.7,mb,26.0,131.5,,0.85,us,usp000fypa,2014-11-07T01:34:56.003Z,Mid-Indian Ridge,earthquake,,,,5.0,reviewed,us,us
2008-02-10T18:18:23.460Z,-27.245,73.178,10.0,4.5,mb,10.0,123.6,,1.27,us,usp000fyma,2014-11-07T01:34:55.818Z,Mid-Indian Ridge,earthquake,,,,4.0,reviewed,us,us
2008-02-08T06:34:21.110Z,-12.019,65.743,10.0,5.2,mwc,26.0,135.8,,1.3,us,usp000fyeh,2016-11-10T01:51:35.363Z,Mid-Indian Ridge,earthquake,,,,,reviewed,us,gcmt
2008-02-07T05:45:29.490Z,-12.051,65.706,10.0,5.0,mb,24.0,134.8,,0.97,us,usp000fybx,2014-11-07T01:34:54.590Z,Mid-Indian Ridge,earthquake,,,,1.0,reviewed,us,us
2008-01-21T17:32:06.590Z,-22.762,69.189,10.0,4.5,mb,11.0,78.0,,0.38,us,usp000fx64,2014-11-07T01:34:44.512Z,Mid-Indian Ridge,earthquake,,,,1.0,reviewed,us,us
2008-01-19T12:30:56.790Z,-7.254,67.915,10.0,4.2,mb,20.0,178.5,,0.83,us,usp000fx0z,2014-11-07T01:34:43.802Z,Mid-Indian Ridge,earthquake,,,,1.0,reviewed,us,us
2007-12-30T10:06:29.660Z,-25.468,70.102,10.0,4.7,mb,40.0,64.9,,0.73,us,usp000fvn8,2014-11-07T01:34:31.230Z,Mid-Indian Ridge,earthquake,,,,8.0,reviewed,us,us
